기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_1_유동인구_수,시간대_2_유동인구_수,시간대_3_유동인구_수,시간대_4_유동인구_수,시간대_5_유동인구_수,시간대_6_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2018,4,A,골목상권,1000302,종암로21길,1016402,504235,512161,71655,214415,202136,192591,169267,166332,165571,173244,158899,164381,229136,125175,141033,140370,141526,140516,146337,155821,150799
2018,4,A,골목상권,1000303,종암로24가길,771741,384732,387007,53075,170427,135206,137546,134876,140602,104920,123161,130890,130862,186213,95694,109212,106660,106930,107493,112776,114880,113798
2018,4,A,골목상권,1000304,종암로5길,907342,454194,453144,77194,383807,130213,107878,108347,99911,141879,168747,168413,158678,177260,92377,139909,138968,140590,138288,122786,114022,112789
2018,4,A,골목상권,1000305,지봉로20길,1251816,633460,618365,65445,379174,234570,195785,202494,174355,227212,239186,205622,197324,241497,140977,179118,180221,179007,178548,181122,172359,181433
2018,4,A,골목상권,1000306,창경궁로43길,1220438,576663,643775,100194,345065,226222,201537,186357,161057,170996,217431,215417,208328,275998,132286,166297,170265,172714,172263,176332,176899,185655
2018,4,A,골목상권,1000307,한천로101가길,487566,273720,213850,31720,73372,71919,90307,114199,106029,49966,112895,104897,97101,85427,37285,68864,68410,70451,69014,67891,70296,72654
2018,4,A,골목상권,1000308,한천로76길,1330229,731088,599139,88681,316401,217250,214525,253665,239716,227198,220682,184495,189812,309609,198430,184807,184202,187152,187348,192830,201775,192112
2018,4,A,골목상권,1000309,화랑로13길,1668232,732176,936058,129532,488156,275077,276147,261705,237633,242372,273090,291592,292531,377644,191011,239879,240997,245118,233754,234548,244053,229888
2018,4,A,골목상권,1000310,화랑로14길,1417016,621576,795440,111599,398598,256596,252666,208046,189511,217134,228909,240420,250915,322077,157568,205547,205787,205342,202245,202916,210788,184390
2018,4,A,골목상권,1000311,화랑로19길,1126762,554759,572010,56981,255965,189809,202935,221398,199675,164109,218400,201277,192069,234324,116598,157447,153035,158293,170783,159732,157117,170360
2018,4,A,골목상권,1000312,화랑로1길,1847200,900158,947041,139061,328484,372120,360357,342007,305167,279733,326701,306298,312428,409391,212637,252985,255293,258621,254663,262855,286627,276150
2018,4,A,골목상권,1000313,화랑로32길,1350942,700875,650059,38570,347835,209652,249197,274482,231197,229537,251739,215552,212967,281366,159802,197446,192299,197924,194148,195492,190344,183300
2018,4,A,골목상권,1000314,화랑로40길,1320670,724265,596407,76091,319586,222717,215139,252535,234606,200180,196475,188028,195483,336404,204113,181862,181517,184242,184585,192146,204638,191684
2018,4,A,골목상권,1000315,노해로17길,2007049,1035385,971656,117441,595754,350747,312975,337566,292569,395236,269340,253536,275048,480068,333814,272772,271115,268096,263902,290633,322743,317783
2018,4,A,골목상권,1000316,노해로23길,1250790,624174,626617,62422,249907,205803,225679,260849,246139,246722,224876,181667,183406,256505,157620,177687,174103,174548,172253,177581,183662,190961
2018,4,A,골목상권,1000317,노해로33길,1204245,582565,621683,61149,254707,196514,215152,242396,234355,239190,227833,180508,174647,236599,145480,170964,168313,169061,166692,168273,175548,185405
2018,4,A,골목상권,1000318,덕릉로40길,662993,344515,318483,20574,156321,105462,113268,139598,127772,112790,134451,111451,106628,127822,69864,90231,88614,88368,86915,93313,101438,114116
2018,4,A,골목상권,1000319,덕릉로41길,3574146,1759758,1814387,179191,1125221,636863,556789,592081,484006,612588,510778,502607,562804,855441,529941,494530,490380,488628,481450,525588,559242,534332
2018,4,A,골목상권,1000320,도봉로13길,1361282,662772,698509,102574,273717,232923,246378,264885,240811,260792,239779,195177,200339,287705,177490,193837,188630,190902,190119,196950,207692,193158
2018,4,A,골목상권,1000321,도봉로18길,1335436,631397,704040,81050,246837,244896,230060,282257,250342,237242,250203,218399,217908,271305,140377,190159,187290,189808,187060,191034,193045,197039
2018,4,A,골목상권,1000322,도봉로45길,1634395,735345,899043,106472,358571,280503,273479,335499,279869,201689,242111,307890,324946,400724,157021,221993,223214,225337,222225,233335,262015,246269
2018,4,A,골목상권,1000323,도봉로67길,1396457,674100,722357,67478,314251,223501,212185,289991,289044,237101,248093,236778,244795,282892,146804,194664,193011,191575,190520,196168,216692,213815
2018,4,A,골목상권,1000324,도봉로76길,2346505,1191308,1155196,84311,637713,393288,372297,459206,399689,404345,387092,390633,404370,496117,263959,316514,313204,313516,310936,341571,370964,379805
2018,4,A,골목상권,1000325,도봉로8길,1939870,936128,1003750,154088,505074,337769,331972,322823,288155,303629,251924,273179,302916,499613,308611,264358,259665,261373,256336,281489,315722,300940
2018,4,A,골목상권,1000326,도봉로99길,1313706,669397,644309,45626,307178,236856,231899,267255,224910,239294,211780,186309,197375,294644,184288,185497,184210,183848,179796,189679,201000,189684
2018,4,A,골목상권,1000327,삼각산로28길,2872464,1454809,1417652,153990,996587,508445,417654,426713,369083,521324,359804,370485,419760,717949,483146,392605,388672,386384,380183,421829,463536,439256
2018,4,A,골목상권,1000328,삼양로20길,1323162,641324,681834,126578,216923,231311,266233,242736,239389,286655,265123,185347,183543,242550,159955,185202,181621,183588,183463,186097,198458,204735
